Trait,Gender,FastTextCommonCrawl,FastTextWikiNews,,,,,,,,,,,,,,,,
affected,F,3024,3123,,,,,,,,,,,,,,,,
affectionate,F,28491,33878,,,,,,,,,,,,,,,,
appreciative,F,26387,43387,,,,,,,,,,,,,,,,
cautious,F,14353,18561,,,,,,,,,,,,,,,,
changeable,F,50878,59337,,,,,,,,,,,,,,,,
charming,F,5614,15181,,,,,,,,,,,,,,,,
cheerful,F,15506,24558,,,,,,,,,,,,,,,,
childlike,F,46172,43678,,,,,,,,,,,,,,,,
clean,F,801,3111,,,,,,,,,,,,,,,,
compassionate,F,14568,27686,,,,,,,,,,,,,,,,
complaining,F,8966,12169,,,,,,,,,,,,,,,,
complicated,F,4563,5901,,,,,,,,,,,,,,,,
confused,F,4596,3842,,,,,,,,,,,,,,,,
cooperative,F,12905,7329,,,,,,,,,,,,,,,,
creative,F,1869,3024,,,,,,,,,,,,,,,,
critical,F,1933,1540,,,,,,,,,,,,,,,,
curious,F,4633,7798,,,,,,,,,,,,,,,,
dainty,F,41410,70581,,,,,,,,,,,,,,,,
delicate,F,8088,14787,,,,,,,,,,,,,,,,
dependent,F,6011,4982,,,,,,,,,,,,,,,,
dreamy,F,24551,50930,,,,,,,,,,,,,,,,
emotional,F,3253,5487,,,,,,,,,,,,,,,,
excitable,F,73097,71456,,,,,,,,,,,,,,,,
family-oriented,F,71761,3615470,,,,,,,,,,,,,,,,
fashionable,F,12921,17200,,,,,,,,,,,,,,,,
fault-finding,F,360672,3826169,,,,,,,,,,,,,,,,
fearful,F,19122,23515,,,,,,,,,,,,,,,,
feminine,F,10547,8695,,,,,,,,,,,,,,,,
fickle,F,42152,70696,,,,,,,,,,,,,,,,
flatterable,F,3423773,3943143,,,,,,,,,,,,,,,,
flirtatious,F,66178,60633,,,,,,,,,,,,,,,,
foolish,F,14261,18734,,,,,,,,,,,,,,,,
forgiving,F,23138,41827,,,,,,,,,,,,,,,,
friendly,F,1414,3377,,,,,,,,,,,,,,,,
frivolous,F,28696,19885,,,,,,,,,,,,,,,,
